District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Gasorwe_Migwa,-2.6810111,30.2523717,"-2.6810111,30.2523717"
Nyabihanga_Mpanuka,-3.3615578,29.7962052,"-3.3615578,29.7962052"
Giteranyi_Mugano II,-2.6041404,30.4402869,"-2.6041404,30.4402869"
Nyabihanga_Muyogoro,-3.3616034,29.7961241,"-3.3616034,29.7961241"
Rango_Nyarurambi,-3.0984507,29.7685288,"-3.0984507,29.7685288"
Nyabihanga_,-3.3615819,29.796175,"-3.3615819,29.796175"
Rango_Rango,-3.0990507,29.768388,"-3.0990507,29.768388"
Mbuye_Munanira II,-3.2621115,29.7947777,"-3.2621115,29.7947777"
Mbuye_Taba,-3.2478379,29.8055011,"-3.2478379,29.8055011"
Nyabihanga_ngoro,-3.3616451,29.7961266,"-3.3616451,29.7961266"
Nyabihanga_Kivuzo,-3.4769165,29.8219647,"-3.4769165,29.8219647"
Gahombo_Migende,-3.0199835,29.6531883,"-3.0199835,29.6531883"
Ruyigi_Dutwe,-3.4550979,30.2803383,"-3.4550979,30.2803383"
Ruyigi_Kirambi,-3.4257549,30.3093818,"-3.4257549,30.3093818"
Gitega_Masasu,-3.3725773,29.9215652,"-3.3725773,29.9215652"
Gasorwe_Gashoho,-2.8075141,30.1324158,"-2.8075141,30.1324158"
Nyabikere_Shombo,-3.2555074,30.048812,"-3.2555074,30.048812"
Giteranyi_kagugo,-2.4725548,30.4330122,"-2.4725548,30.4330122"
Muramvya_Masango II,-3.2704982,29.6529186,"-3.2704982,29.6529186"
Muramvya_Masango I,-3.2680887,29.6687242,"-3.2680887,29.6687242"
Giteranyi_Kijumbura II,-2.3621443,30.4360829,"-2.3621443,30.4360829"
Giteranyi_Kijumbura,-2.3626716,30.4368323,"-2.3626716,30.4368323"
Nyarusange_Gitaramuka N coop,-3.6371839,29.8238391,"-3.6371839,29.8238391"
Nyarusange_Nyarubenga Coops,-3.550366,29.7968759,"-3.550366,29.7968759"
Nyarusange_Gahembe Coops,-3.6185502,29.8279094,"-3.6185502,29.8279094"
Nyarusange_Murambi Coops,-3.6180542,29.8278695,"-3.6180542,29.8278695"
Nyarusange_Gatwaro Coops,-3.6181968,29.8275985,"-3.6181968,29.8275985"
Bweru_Kirambi,-3.3234399,30.4700133,"-3.3234399,30.4700133"
